Titre,Album,Année,Durée,Paroles,Compositeur,Auteur
Méfie-toi,Innamoramento,1999,"5,3","Il m'a fallu l'impasse
Donner ma langue au chat
Pour contrer l'existence
I.A.O/I.A.O
Mon Q.I. est tenace
Ma patience : un état
Dompter les apparences
I.A.O/I.A.O
Les chemins sont multiples
Tout est question de choix
Au diable les proses brutales
Les colères homériques
Tout ça n'importe quoi
Il existe arme redoutable
I.A.O/I.A.O

Méfie-toi des puissances
Méfie-toi de l'aisance
Au jeu du corps à corps
L'esprit est bien plus fort
Méfie-toi des puissances
Des vierges sans défense
Leurs forces sont subtiles
La force est féminine

Et quand l'esprit, frappe
C'est un fouet qui, claque
Méfie-toi quand même
C'est la onzième, lame
Majeur est, l'arcane
Vierge Iconoclaste
Dieu, que l'icône est classe, 5.4.3.2

Il m'a fallu l'épreuve
De : c'est chacun pour soi
Avaler des couleuvres
I.A.O/I.A.O
Mon karma est tenace
On est selon ""Bouddha""
Héritier de nos actes
I.A.O/I.A.O
Les chemins sont multiples
Tout est question de choix
Et aux paroles mortifères
Mieux qu'une arithmétique
L'esprit fort est le roi
Il règne ainsi sur la matière
I.A.O/I.A.O

Méfie-toi des puissances
Méfie-toi de l'aisance
Au jeu du corps à corps
L'esprit est bien plus fort
Méfie-toi des puissances
Des vierges sans défense
Leurs forces sont subtiles
La force est féminine

Et quand l'esprit, frappe
C'est un fouet qui, claque
Méfie-toi quand même
C'est la onzième, lame
Majeur est, l'arcane
Vierge iconoclaste
Dieu, que l'icône est classe ",Mylène,Mylène
Innamoramento,Innamoramento,1999,"5,27","Toi qui n'a pas su me reconnaître
Ignorant ma vie, ce monastère, J'ai
Devant moi une porte entrouverte
Sur un peut-être,
Même s'il me faut tout recommencer

Toi qui n'as pas cru ma solitude
Ignorant ses cris, ses angles durs, J'ai
Dans le coeur un fil minuscule
Filament de lune
Qui soutient, là un diamant qui s'use...
Mais qui aime

J'n'ai pas choisi de l'être
Mais c'est là, ""l'Innamoramento""
L'amour, la mort, peut-être
Mais suspendre le temps pour un mot
Tout se dilate et cède à tout
Et c'est là, ""l'Innamoramento""
Tout son être s'impose à nous
Trouver enfin peut-être un écho

Toi qui n'a pas vu l'autre côté, de
Ma mémoires aux portes condamnées, j'ai
Tout enfoui, les trésors du passé
Les années blessées
Comprends-tu qu'il me faudra cesser...

Moi qui n'ai plus regardé le ciel, j'ai
Devant moi cette porte entrouverte, mais
L'inconnu a meurtri plus d'un coeur
Et son âme soeur,
On l'espère, on l'attend, on la fuit même
Mais on aime ",Laurent Boutonnat,Mylène
Optimistique-moi,Innamoramento,1999,"4,22","""Je me fous de tes détresses
comme de tout et du reste...""
C'est ça, le temps qui passe
""Je me fous de tes angoisses
elles m'ont nourrie mais me lassent...""
C'est ça, c'est le temps qui passe
""Je fais fi de tes ""je t'aime"",
ils sont des cris qui m'enchaînent...""
C'est ça l'amour
C'est quoi l'amour ?
""tu ne vis pas, c'est morbide""
En somme, je suis pathétique,
C'est ça l'amour
Papa n'était pas comme ça, quand...

Il disait tout bas :
""Petit bouton de rose,
aux pétales humides,
un baiser je dépose""
Optimistique-moi, Papa
Optimistique-moi, quand j'ai froid
Je me dis, tout bat
Quand rien ne s'interpose,
Qu'aussitôt, tes câlins
Cessent toute ecchymose
Optimistique-moi, Papa
Optimistique-moi, reviens-moi...

""Tu te fous de mes ténèbres
comme de tout, et comme du reste...""
C'est ça, le temps qui passe
""Fais fi des signes du ciel
seuls les faits, sont ton bréviaire...""
C'est ça le temps qui passe
Tu dis : ""assez des histoires
Ton passé est préhistoire...""
C'est ça l'amour
C'est quoi l'amour ?
Crucifie-moi Ponce Pilate
Noie-toi dans l'eau écarlate
L'amour est loin
Papa était plus malin, quand...

Il disait tout bas :
""Petit bouton de rose,
aux pétales humides,
un baiser je dépose""
Optimistique-moi, Papa
Optimistique-moi, quand j'ai froid
Je me dis, tout bat
Quand rien ne s'interpose,
Qu'aussitôt, tes câlins
Cessent toute ecchymose
Optimistique-moi, Papa
Optimistique-moi, reviens-moi...

Il disait tout bas :
""'Petit bouton de rose,
aux pétales humides,
un baiser je dépose""
Optimistique-moi, Papa
Optimistique-moi, quand j'ai froid
Je me dis, tout bat
Quand rien ne s'interpose,
Qu'aussitôt, tes câlins
Cessent toute ecchymose
Optimistique-moi, Papa
Optimistique-moi, reviens-moi...

Il disait tout bas :
""Petit bouton de rose,
aux pétales humides,
un baiser je dépose""
Optimistique-moi, Papa
Optimistique-moi, quand j'ai froid
Je me dis, tout bat
Quand rien ne s'interpose,
Qu'aussitôt, tes câlins
Cessent toute ecchymose
Optimistique-moi, Papa
Optimistique-moi, reviens-moi...",Mylène,Mylène
Serais-tu là ?,Innamoramento,1999,"4,47","Chaque mot qu'on garde
Chaque geste qu'on n'a fait,
Sont autant de larmes,
Qui invitent au regret

""Si j'avais su"" est trop tard,
Mâchoire d'une pierre tombale
Le ""j'aurais dû"", dérisoire
Sans voix, et là... j'ai un peu froid...
A chaque fois je sens l'émoi

Si j'avais la foi du monde
En cette seconde,
Serais-tu là ?
Si j'avais renoncé au monde
Et que rien ne compte
Serais-tu là ?
Si j'avais le choix : mourir
Pour t'entendre vivre,
Serais-tu là ?
Si j'avais le choix : souffrir
Sans même te le dire,
Serais-tu là ?
Je serai là
Et toi en moi

Je voudrais être Opium
Me ferais Narguilé
Particule d'Hélium
Partir tout en fumée

Quand je fais ce rêve étrange,
Et quand, pénétrant tes songes
Je deviens volute, poussière d'ange
Je songe, la faute est un poison qui ronge

Si j'avais la foi du monde
En cette seconde,
Serais-tu là ?
Si j'avais renoncé au monde
Et que rien ne compte
Serais-tu là ?
Si j'avais le choix : mourir
Pour t'entendre vivre,
Serais-tu là ?
Si j'avais le choix : souffrir
Sans même te le dire,
Serais-tu là ?
Je serai là
Et toi en moi

Et l'âme
A mal
Balade, qui
Et l'âme
A mal
Balade qui fait mal ",Mylène,Mylène
Consentement,Innamoramento,1999,"4,39","Je veux du ""Vous""
Parce-qu' entre nous, c'est lentement
C'est lent
Le songe est doux
Immensité des sentiments
A perdre haleine
Le ""Vous"" me sied, le vôtre est plaine
Apôtre j'aime quand le ""Vous"" me fait un enfant

Je veux du ""Vous""
Quand les dessous sont tutoiements
C'est lent
C'est à genoux
Que je vous vois lécher mon sang
C'est blanc
A qui la faute ?
Si le ""Tu"" a tué romance
Le ""Vous"", si j'ose
Parce-qu' entre nous c'est lentement

Vous, où ?
Et ce vol mène
Là, où c'est l'apesanteur
Vous, où ?
Deux voyelles s'aiment
Là, sous l'accord majeur
Vous, où ?
Et ce vol mène
Là, où c'est l'apesanteur
Vous, où ?
A pas de loup, j'aime
Quand vous me faîtes peur

Je veux du ""Vous""
Parce-qu' entre nous c'est lentement
C'est lent
Le ""Vous"" est vif
Le ventre gonflé de vos débordements
A qui la faute ?
Le ""Vous"" se fait suave et tendre,
A vous dirai-je
Maman, que j'aime sa présence

Vous, où ?
Et ce vol mène
Là, où c'est l'apesanteur
Vous, où ?
Deux voyelles s'aiment
Là, sous l'accord majeur
Vous, où ?
Et ce vol mène
Là, où c'est l'apesanteur
Vous, où ?
A pas de loup, j'aime
Quand vous me faîtes peur",Laurent Boutonnat,Mylène
Et si veillir m'était conté,Innamoramento,1999,"4,38","La nuit de ses doigts gantés
Image inachevée
Bientôt la lune est pleine

La nuit de ses doigts si frêles
Sculpte l'aube et le ciel
Dieu, que cette femme est belle

La nuit de ses doigts de fée
A effleuré l'image
D'un bonheur de passage

Mais j'ai vu l'être emporté
Elle n'a pas su s'aimer
Le temps a fait ses ravages

Et si vieillir m'était conté
Serais-je là pour t'aimer
D'autres nuits s'achèvent et la vie
A tout donné, tout repris...

La nuit de ses doigts de fer
A abîmé la chair
De sa rouille cruelle

Quand le temps a déposé
Son sourire familier
C'est un pas vers la poussière

Et si vieillir m'était conté
Serais-je là pour t'aimer
D'autres nuits s'achèvent et la vie
A tout donné, tout repris... ",Mylène,Mylène
Souviens-toi du jour...,Innamoramento,1999,"5,03","Quand le vent a tout dispersé
Souviens-toi
Quand la mémoire a oublié
Souviens-toi...

Souviens-toi que l'on peut tout donner
Souviens-toi que l'on peut tout briser
Et si c'est un Homme...
Si c'est un Homme
Lui parler d'amour à volonté
D'amour à volonté

Souviens-toi que l'on peut tout donner
Quand on veut, qu'on se rassemble
Souviens-toi que l'on peut tout briser
Les destins sont liés
Et si c'est un Homme...
Si c'est un Homme
Lui parler d'amour à volonté
D'amour à volonté

Le souffle à peine échappé
Les yeux sont mouillés
Et ces visages serrés
Pour une minute
Pour une éternité
Les mains se sont élevées
Les voix sont nouées
Comme une étreinte du monde
A l'unisson
A l'Homme que nous serons...

Souviens-toi que le monde a changé
Au bruit des pas qui résonnent
Souviens-toi des jours désenchantés
Aux destins muets
Et si c'est un Homme...
Si c'est un Homme
Lui parler d'amour à volonté
D'amour à volonté",Laurent Boutonnat,Mylène
Mylénium,Innamoramento,1999,"5,28",Innamoramento,Laurent Boutonnat,Mylène
Avant que l'ombre...,Avant que l'ombre...,2005,"6,01","Âpreté des sons
Tourmente des vents
Mémoire...
Qui m'oublie, qui me fuit

Jésus ! J'ai peur
Jésus ! De l'heure...
Qui me ramène
A des songes emportés,
A des mondes oubliés, oh

Jésus ! J'ai peur
De la douleur...
Des nuits de veille
Mémoire inachevée,
Qui ne sait... où elle naît

Avant que l'ombre, je sais
Ne s'abatte à mes pieds
Pour voir l'autre coté
Je sais que... je sais que... j'ai aimé
Avant que l'ombre... gênée
Ne s'abatte à mes pieds
Pour voir l'autre coté
Je sais que j'aime, je sais que j'ai...

Jésus ! J'ai peur
Oh ! Jésus ! Seigneur !
Suis-je coupable ?
Moi qui croyais mon âme
Sanctuaire impénétrable

Jésus ! J'ai peur
Jésus ! Je meurs
De brûler l'empreinte
Mais laisser le passé redevenir le passé ",Laurent Boutonnat,Mylène
Fuck Them All,Avant que l'ombre...,2005,"4,37","La nature est changeante
L'on respire comme ils mentent
De façon ravageuse
La nature est tueuse
Au temps des ""Favorites""
Autant de réussites
Pour l'homme qui derrière a...
Une ""Belle"" qui s'affaire... à

Faire... de leur vie un empire
Blood and tears !
Faire l'amour à Marie
Blood and tears !
Et ""Marie"" est martyre
Blood and tears
Sur le mur nos soupirs !

Fuck them all !
Faites l'amour
Nous la guerre
Nos vies à l'envers
Fuck them all !
Faites l'amour
Nous la guerre
Saigner : notre enfer !

Fuck Them All !
Faites l'amour
Nous la guerre
Nos vies à l'envers
Blood and soul
Faites-le nous !
Dans le texte
Le sang c’est le sexe


De nature innocente
L'on manie élégance
Et d’une main experte
D'un glaive l'on transperce
Les discours trop prolixes
Que de la rhétorique
Lâchetés familières
Qui nous rendent guerrières


Hey Bitch, you're not on the list
You Witch ! You suck, you bitch ! (they said)
Hey Bitch, you're not on the list
You Witch ! You suck, you bitch ! (they said)
Hey Bitch, you're not on the list
What's your name again ?
Hey Bitch, you're not on the list
You Witch ! You suck, you bitch !
Hey Bitch, you're not on the list
Hey Bitch, you're not on the list
You Bitch, you're not on the list
You Witch ! You suck, you bitch !",Laurent Boutonnat,Mylène
Dans les rues de Londres,Avant que l'ombre...,2005,"3,56","Réduire la vie à...
Des formules indécises
C'est bien impossible, elle
Tu vois, se nuance à l'infini
C'est comme une lettre
Qui s'est écrite à l'envers...
Coule dans ma tête
Un monde fou qui veut naître

Mais tu sais, son âme est belle
Dans les rues de Londres
J'ai puisé plus de lumière
Qu'il n'en faut pour voir...
Dieu a des projets pour elle
Et les rues de Londres
Souffleront sur des mystères
D'une autre fois...
Virginia

Je remets ma vie à...
Un plus tard abandonné
Pour simplement vivre
Tenter d'a...tteindre une humanité
Des lambeaux de terre
Me regardaient disparaître
Et, parmi les pierres
Je vivais et j'espérais, tu sais

Mais tu sais, son âme est belle
Dans les rues de Londres
J'ai puisé plus de lumière
Qu'il n'en faut pour voir...
Dieu a des projets pour elle
Et les rues de Londres
Souffleront sur des mystères
D'une autre fois...
Virginia

Mais tu sais, son âme est belle
Dans les rues de Londres
J'ai puisé plus de lumière
Qu'il n'en faut pour voir...
Dieu a des projets pour elle
Et les rues de Londres
Souffleront sur des mystères
D'une autre fois...
Virginia

Mais tu sais, son âme est belle
Dans les rues de Londres
J'ai puisé plus de lumières
Qu'il n'en faut pour voir...
Dieu a des projets pour elle
Et les rues de Londres
Souffleront sur des mystères
D'une autre fois...
Pas cette fois...",Laurent Boutonnat,Mylène
Q.I,Avant que l'ombre...,2005,"5,25","Même si j'en ai vu des culs
C'est son Q.I qui m'a plu
Je vis le choc de cul...ture
La belle aventure

Même si je suis dans son lit
C'est son Q.I qui me lie
À lui pour la vie entière
Bien que solitaire

Et moi j'en ai vu des culs
Mais c'est son ""Q.I"" qui eut
Le dernier mot pour m'avoir
Là, sur le plongeoir

Bien sûr j'en ai vu des cons
Mais son Q.I me rend com-
-plètement occise de désir
Quitte à en mourir

Sa bouche est sanctuaire
La plus sacrée des prières
S'alanguir est pour moi
Le pire des effrois, c'est froid

Sa bouche est sanctuaire
Le plus sacré des mystères
Il est l'ange pour moi
Je lui dis tout bas...

Qu'il a les rondeurs d'un ""Rodin""
J'aime ! Ça m'incite à...
Il sait la douceur de mes reins
Qui oscillent...
Il sent la tiédeur de mes mains
J'aime ! Ça l'incite à...
Longue est la route de nos plaisirs...
...sémantiques !

Même si j'en ai vu des cas
Son Q.I moi, me rend coi...
Devant telle érudition
Langue morte, non !

Et quand je suis dans son lit
C'est son Q.I qui me lit
La physique des quantas
Quant-à-moi, je crois que...

Sa bouche est sanctuaire
La plus sacrée des prières
S'alanguir est pour moi
Le pire des effrois, c'est froid

Sa bouche est sanctuaire
Le plus sacré des mystères
Il est l'ange pour moi
Je lui dis tout bas...

Ton Q.I, mon cul est, ton Q.I
C.Q.F.D. ",Laurent Boutonnat,Mylène
Redonne-moi,Avant que l'ombre...,2005,"4,29","Comme un fantôme qui se promène
Et l'âme alourdie de ses chaînes
Réussir sa vie
Quand d'autres l'ont meurtrie, et
Réussir sa vie, même si...
Comprendre ne guérit... pas
Et ce fantôme se promène
Là, sous l'apparence gît le blème
Murmure des flots...
L'onde à demi-mot
Me...
Murmure que l'on doit parfois
Retrouver une trace... de soi

Comme un fantôme qui se démène
Dans l'aube abîmée sans épiderme
Et nul n'a compris
Qu'on l'étreint à demi et...
Et nul n'a surpris son cri :
Recommencer sa vie,
Aussi,

Redonne-moi,
Redonne-moi l'autre bout de moi
Débris de rêves, le verre se fêle
Redonne-moi la mémoire de ma...
Peut être sève ? Peut être fièvre ?
Redonne-moi pour une autre fois
Le goût de vivre, un équilibre
Redonne-moi l'amour et le choix
Tout ce qui fait qu'on est roi",Laurent Boutonnat,Mylène
Porno graphique,Avant que l'ombre...,2005,"4,2","Mon coeur est rempli,
Mais mon corps s'ennuie
Tes jeux délibérés avec un dé,
Des dés pipés, des dés pipés,
des dés pipés

Je veux savoir où naît le vent
J'ai l'âme inerte en même temps
Il y a de l'uniformité partout
De la pensée en boîte et c'est
bien tout !

Mon coeur est rempli,
Mais mon corps s'ennuie
Je t'ai montré mon arrière-train
Mon céans, mon céans, mon céans
L'océan

Et quand ma langue se délie...
C'est l'éloquence de mes silences
Là, sur ton orifice ami...
Je m'immisce dans ta pénombre,
Et, là, je fais le tour du monde

Mon coeur est rempli,
Mais mon corps s'ennuie
Les poupées qui disent ""oui
et non""

Qu'on écu de la même...
Façon, je dis non, je dis non,
je dis non, je dis non,
je dis non !
Je dis non !

Je dis qu'il n'y a pas d'porno chic
Mais bien que des porcs au sens
strict
Primo, deuxio, tertio, c'est le chaos
J'ai bien le coeur sur le bord du
billot

Mon corps se rempli
Mais mon coeur aussi
Et plus le corps est entravé
Plus l'esprit est ""libre"", est ""libre"",
est ""libre"",

Mon coeur est rempli
Mais mon coeur s'ennuie
Et plus le corps est entravé
Plus l'esprit est ""libre"", est ""libre"",
est ""libre""... T'as pas un petit Mojito ?",Laurent Boutonnat,Mylène
Derrière les fenêtres,Avant que l'ombre...,2005,"4,09","La lumière est invisible
A nos yeux""
C'est ce qu'ils disent en silence
Quand ils sont deux...

Hommes et femmes de pierre
Aux destins sans gloire
Mal étreints, trop fiers
J'entends...
L'absence d'eux...

Derrière les fenêtres
Des vies, longtemps, se perdent
Derrière les fenêtres
J'envie des mondes
Qui ressemblent aux songes
Derrière les carreaux
Tombent en lambeaux des êtres
Derrières les pâleurs, on sait qu'un
Coeur va naître ou disparaître

Silhouettes exquises
J'imaginais vos cernes
Des amants qui sont tranquilles
A leurs fenêtres

Hommes et femmes dignes
Je voudrais rencontrer vos ombres
Parler à vos âmes
Qui plongent
Et qui se signent ",Laurent Boutonnat,Mylène
Aime,Avant que l'ombre...,2005,"4,16","Souvenir de nos
Fiançailles
En bataille
Souvenir des mots
Flux de taille !
Un feu de failles

Souvenirs d'émois de mai
Qui affolaient
Tous les sols... et
Soutenir le monde ""aimer""
A la force de nos poignets... d'amour

Aime
Tous les maux sont les mêmes
Quand on aime
Du pareil au blême
Aime la lie, l'anamour
Quoi de mieux quand on saigne
Moi j'aime... les ""je"" de l'amour
Qu'il pleuve ou qu'il vienne

Souvenirs de Palerme
Qui s'élèvent
Dans le ciel
Souvenir d'un soleil
Un seul être
Me pénètre

Sous réflex, je pose à nue
Je suis surex
Rien ne m'ex...
...pose plus qu'à l'inconnu
Je lui demande si l'amour est tendre ",Laurent Boutonnat,Mylène
Tous ces combats,Avant que l'ombre...,2005,"4,04","Être aussi simple
Aussi muet
Que tout le blé qui pousse au vent d'aimer
Simplement être...
La vie nous blesse
Elle nous assèche
J'attends que quelque chose fonde en moi
J'attends tout... ""d'être""

Tous ces combats
Qui brisent insouciance
Mordent l'existence,
J'ai la mélancholia
Qui rend l'âme à nue
Qui me constitue
Tous ces combats
Alors que la rage
Que tout fait naufrage
J'ai dans mon autre moi
Un désir d'aimer
Comme un bouclier

Aux jours livides
Qui semblent me dire :
""je voudrais t'immerger dans un silence""
Je crains qu'ils dansent !
Beauté du doute
Oser un souffle
""Vivre"" est ce qu'il y a des plus rare au monde
Pourtant les ombres.",Laurent Boutonnat,Mylène
"Ange, parle-moi",Avant que l'ombre...,2005,"3,48","L'ange, parle-moi !
Le plus vaste des cœurs se brise
Parle-moi !
L'hiver pourvu qu'on le cultive
Dans cette pièce,
Nul semble respirer,
Ici, c'est un...
Abri qui m'a été donné !

Don't let me die, l'ange
Don't let me die, l'archange
Tu sais le temps qu'il faut pour apaiser
Nos peines
Don't let me die,
Et dis encore je t'aime

Parle-moi !
Pourquoi cette couleur trompeuse ?
Ange, parle-moi !
De voir qu'en lui, ils étaient deux
Je sais ce que
Mentir veut dire pour moi,
Tu sais,
Dieu a rompu
Son pacte avec cet étranger !

Parle-moi, parle-moi
Dis-moi si tu es là ?
Ange, parle-moi, parle-moi
Dis-moi si tu es là ?",Laurent Boutonnat,Mylène
L'amour n'est rien...,Avant que l'ombre...,2005,"5,08","Obsédée du pire
Et pas très prolixe
Mes moindres soupirs
Se métaphysiquent...
J'ai dans mon ciel
Des tonnes de célestes
M'accroche aux ailes...
Et tombe l'ange Gabriel!

Obsédée du pire
Un peu trop physique...
L'envie de frémir
Est pharaonique !
...fi de l'ascèse !
Ma vie s'enténèbre
Moi sans la langue
Sans sexe je m'exsangue !

L'amour, c'est rien !
Quand c'est politiquement correct
On s'aime bien,
On n' sait même pas quand on se blesse
L'amour c'est rien
Quand tout est sexuellement correct
On s'ennuie bien
On crie avant pour qu' ça s'arrête

La vie n'est rien...
Quand elle est tiède !
Elle se consume et vous bascule
Le sang en cendre de cigarette
La vie est bien...
Elle est de miel !
Quand elle s'acide de dynamite
Qui m'aime me suive!

Obsédée du pire
Et pas très prolixe
Mes moindres soupirs
Se métaphysiquent...
J'ai dans la tête
Des tonnes de pirouettes
Le saut de l'ange
n'a pour moi rien d'étrange

Obsédée du pire
Et pas très prolixe
Partager mes rires
Plutôt plutoniques
J'ai dans ma sphère
Un effet de serre
Mon sang bouillonne
Je bout de tout, en somme","Laurent Boutonnat, Mylène",Mylène
J'attends,Avant que l'ombre...,2005,"5,23","Parfois avec le coeur, les larmes
Bien peu aiment vraiment !
Si peu souvent avec l'âme
C'est que peu aiment vraiment
Amour à moi,
Je ferme les yeux
Sur les dernières nuits
Qui nous séparent. Qui nous unit ?
Je serre de mon mieux
Du plus que je puis
Un amour qui m'a... envahi

J'attends
Que le coeur l'emporte
J'attends qu'il frappe à ma porte,
J'attends tout...
L'amour est au bout
Tout...
Est bien en nous
J'attends
Près d'un mur de lierre.

Passer à coté de sa vie
Se mentir des vies durant,
T'aimer parce que c'est aujourd'hui
C'est ce qui compte vraiment
Amour à moi
Viens, ferme les yeux
Sur nos premières nuits
Rien ne nous sépare, tu m'as dit :
""Je serre de mon mieux
Du plus que je puis
Je t'étreins pour deux, tu es ma vie"". ",Laurent Boutonnat,Mylène
Peut-être toi,Avant que l'ombre...,2005,"4,55","Si par mégarde
La faute est mienne
Alors... renie-moi... là
Simplement sache bien
Que saigne
Ce coeur qui bat pour... toi
Et quand l'absence désincarne...
Et hante l'univers
Je n'avais plus qu'à trouver l'âme
Et retrouver peut-être...

Peut-être toi
Peut-être toi
Regarde-moi
Nulle autre n'a...
L'envie de toi
Comme j'ai besoin de toi

Parce que c'est toi
Parce que c'est moi
Regarde-moi
Nulle autre n'a...
L'envie de toi
Comme j'ai besoin de toi

Si nos matins
Semblent poussière
Alors renie-moi ... là
Simplement je n'aurais
Su taire
Le bruit qui est en... toi
Quand la présence d'un vent calme
Entrouvre l'univers
Mon inquiétude d'amour cache
Une envie de bonheur ",Laurent Boutonnat,Mylène
Et pourtant...,Avant que l'ombre...,2005,"4,41","Quand les songes
M'ont réveillée
Quand on n'ose pas
Crier

Quelque chose au bout du moi
Qui me fait mal
Mais tes lèvres ont fait de moi
Un éclat... de toi

Et pourtant
Le jour s'est couché
Pour éteindre le monde
Et pourtant
L'amour est court
D'innocent,
J'entrevoyais le chemin
Qui mène à l'ombre
Et pourtant
L'amour toujours

Si les roses
Etaient si belles... fleuries
Rien de grave
Elles n'ont pas su... l'épine

L'improbable silhouette
Qui s'avance
Imprévue dans ce silence
Qui guette une absence

Là, pourtant
Le jour s'est levé
Pour éclairer le monde
Comme avant
L'amour est onde
D'innocent,
J'entrevoyais le chemin
Qui mène aux ombres
Et pourtant
L'amour est comble",Laurent Boutonnat,Mylène
Nobody knows,Avant que l'ombre...,2005,"4,41","L'aube a bu sa transparence
Nobody knows
""Ghost"" elle est infiniment
Nobody knows

Nobody knows
Nobody knows
Nobody knows
Nobody knows
Nobody knows
Nobody knows

L'aube a su la lune entendre
Nobody knows
Nulle vie, nul ressentiment
Nobody knows

Nobody knows
Nobody knows
Nobody knows
Nobody knows
Nobody knows
Nobody knows",Laurent Boutonnat,Mylène
